1,2,Thuy,1000.0
1,1,1,1.0
1,mm,1,1000.0
1,qq,2,12.0
1,1,1,1.0
1,qq,2,2.0
2,Kẹo,đồ ăn,1000.0
4,4,4,4.0
9,9,9,9.0
1,qq,qq,1000.0
1,1,1,1.0
1,banh,doan,100.0
4,bimbim,doan,200.0
1001,aaaaa,aaaaa,11111.0
1111,qqjqq,1111,111111.0
1111,1111,11111,11111.0
1099,haio,1212,121212.0
1002,11111,1111111,111111.0
1212,aaaaaa,232,123.0
1222,232323,wwww,2313132.0
121212,rtrfdf,23231,665666.0
10999,1221,2555,23231.0
10000,dddd,kkkk,1111.0
100000,ccccccc,kkkkkkk,121246.0
4214,qqqqqq,banhhhh,2111111.0
45678,thădw,wrqjj,45778.0
2223,đâsdad,hsdfsfs,4.3424234E7
53525235,fdsfsdfsdfs,fdsffsdfsd,3.424235235E9
2000,thuywwwww,thuyttttt,100000.0
100,nhnh,thnmkh,123456.0
9999,keolac,doan,10979.0
11111,11111,11111,11111.0
5678,kkeo,doan,100000.0
10000,keo,doan,2000.0
10001,nuoc,douong,5000.0
